comment,replies,user_name,date
"If you didn't already knew, Amir Khan is a perfectionist and the way Darsheel describes him makes it even more clear.",[],@RipBozoXD,2023-03-08T19:47:54Z
VISHU MERA DARSHEEL,[],@omprakash-bn6ym,2023-03-07T17:11:49Z
One of the best movie Bollywood ever made.,[],@PKY4245,2023-03-05T18:07:03Z
I m soo sry that i was remembering that iconic movie today in 2023 my god still make me goosebumps ooo my god❤️,[],@CharchitGautam,2023-03-04T21:58:53Z
Big Darsheel fan...from this movie and from the other...Bum bum bole...❤❤❤,[],@zenmaster3347,2023-03-04T13:05:17Z
Yeah i really cried while watching the movie.,[],@devas1s,2023-03-03T17:58:18Z
Rare footage of Tanmay Bhat not laughing.,[],@aadixum,2023-02-25T05:14:11Z
That meri ma song hits different when you are studying away from home in a dormitory. You can never not cry.,[],@sanmedbij,2023-02-19T19:45:52Z
This is where real men cry....🍃,[],@aniruddhkamurti,2023-02-19T15:44:20Z
"19:26 when your are about to cry out of emotions, you raise your eyebrows and smile. From being a child to a mature person.",[],@kartikg.kartikg,2023-02-10T14:25:04Z
Ye banda ab bhi kitna pyaara h yaar,[],@jacksonwangspapillong4217,2023-02-09T10:50:58Z
"yrr darsheel humble banta hai, as a kid, he did a phenomenal job",[],@utkarshrajput8513,2023-02-08T16:23:03Z
Strange that there was no mention of Amole Gupte,[],@njoid09,2023-02-06T20:46:39Z
Bollywood doesn't make movies like these anymore!!!,[],@lazyfreak1744,2023-02-06T20:05:12Z
Thank you AK for this gem ❤️,[],@satakshigauri6240,2023-02-06T17:17:49Z
3 idiots could have been sequel to taare zameen par,[],@prophecy8740,2023-02-04T20:09:46Z
Wow man didn't knew I needed him to tell us behind the scene of this great movie.,[],@shrutigurnule0808,2023-02-01T20:52:23Z
Darsheel looks like me 😆,['He looks like a common middle class boy.'],@nusratnasir7210,2023-02-01T17:34:48Z
This movie is a masterpiece!!..but I haven't watched this so for so long coz it just breaks me...damn i cry so hard,[],@chwl_hnsl,2023-01-27T17:14:24Z
kal se soft skills mein attentively baithhunga,[],@havocslays5390,2023-01-25T17:52:11Z
18:58 He is crying 😭,[],@sachin_075,2023-01-20T09:20:26Z
why did you grow up?? 😭😭😭,[],@comfymusings,2023-01-19T15:43:40Z
Ye Tisca ko Tisha kyu bula raha hai?,[],@mufaddalpatwa8587,2023-01-06T18:56:30Z
He deserves to be in Hollywood... This Bollywood ain't giving him more projects,[],@cimmerianfable,2023-01-05T05:28:01Z
Real talent... amazing,[],@divyashukla23,2023-01-03T16:44:09Z
Darsheek such an eloquent speaker,[],@mamtadehariya9305,2022-12-31T12:51:10Z
He is So Well spoken ❤️,[],@lavanyakambli3385,2022-12-23T12:12:57Z
Who ever is cutting onions please stop,[],@BrownBoyCanadian,2022-12-20T15:26:09Z
❤️❤️,[],@rasmim231,2022-12-02T18:34:53Z
My parents prefer this movie over Baghban..and they ssly told me this😂,[],@animetsystudio9841,2022-11-25T05:06:34Z
First time seeing tanmay crying,[],@acdc2961,2022-11-21T18:46:20Z
No I'm not crying 😣😢,[],@saiyadsahil,2022-11-13T16:27:27Z
"Even just watching this reaction video, i literally cried. What a masterpiece.",['Yess actually😢'],@muhammadafzaal8201,2022-11-07T17:04:14Z
This movie made by cry in allmost all scenes,[],@cheesypasta8064,2022-11-07T14:41:04Z
As a kid this movie hit  me hard and even as a adult it is hitting me even harder 😭😭,[],@prathameshbhonkhade7801,2022-11-05T03:52:07Z
Am I the only one who hasn’t seen this movie? 🥲,[],@f_dxb270,2022-10-31T09:53:41Z
Amir hit the kid for real?,[],@apurvashankaranarayanbhat2179,2022-10-27T09:09:44Z
Broooo react to Jujutsu Kaisen,[],@the_rimy_show,2022-10-24T05:47:42Z
Try not to cry challenge is real. Just the reaction video was enough!,[],@shaswatmohanty3021,2022-10-21T22:39:41Z
The whimsical background music when Darsheel is openly talking about his experiences makes tanmay look sarcastic,[],@yashkulkarni1594,2022-10-21T04:49:48Z
Well spoken man now,[],@29subhra,2022-10-19T18:13:09Z
This movie is my life,[],@deepak-sw1gi,2022-10-19T14:18:36Z
Oh I forgot to mention that I'm a big fan of Darsheel! I also watched bum bum bohlee and zokomon because of him ❤️,[],@tomsawyer9248,2022-10-16T23:55:14Z
I didn't watch taare zameen par,[],@aaaaa-xs4ep,2022-10-16T09:27:18Z
This movie is a brahmastra against baghban movie😂🤣🤣,[],@nikitapatel8350,2022-10-14T07:03:01Z
😭🥺😭🥺😭,[],@RiishabhPandey,2022-10-13T06:05:56Z
This movie deserved an Oscar,[],@PrakharTalksSports,2022-09-29T11:23:34Z
"wept like a baby 15 years ago, wept like a baby now.  this is a gem 💎",[],@PrakharTalksSports,2022-09-29T11:17:22Z
feels so good,[],@itssreepali,2022-09-24T15:18:53Z
"Opened this video in thought of some fun, ending with crying....",[],@starka6391,2022-09-23T18:41:00Z
This movie is a Try Not To Cry Challenge. Well said Tanmay!  ✨,['Rare footage of him not laughing.'],@Amaan99,2022-09-20T08:09:16Z
WHEN PARENTS  TAKE HOSTEL FOR FIRST TIME AND THAT FEELINGS INEVER FORGET,[],@abiranbasnet9581,2022-09-14T09:45:01Z
crying watching this reaction video also....,[],@rizasiddiqui4916,2022-09-13T13:53:00Z
"I really adore the way he call ""Amir uncle"" and not sir.",[],@destro_enough,2022-09-13T11:32:05Z
"Start of the video: ab nahi Rona aayga ispe
End of the video: 4 baar ro lia ❣️❣️",[],@wreakwords2843,2022-09-09T18:22:20Z
Feels bad seeing so much hate and judgement against Aamir Khan these days. People forget the good work so soon and easily.,[],@phoenixxxx555,2022-09-08T19:03:24Z
I was 5yrs old when this movie got released and i remember watching this with my mum and dad.. Ahhhh i feel so nostalgic.,[],@SugaKookie__,2022-09-07T22:04:01Z
I love this movie......meri life ki best no 1 movie rahegi,[],@priyanshumusic8925,2022-09-05T11:57:08Z
After this video I am gonna watch this movie again and again😍😍,[],@Mayank-vv5dc,2022-09-03T16:25:44Z
wah kya acting kara,[],@selflove0919,2022-08-30T01:12:23Z
Unfortunate that Darsheel didn't mention Amol Gupte even once.,[],@Invincible2030_,2022-08-28T11:29:53Z
The fact that i am 15 and still see this 24 yr old as a kid explains a lot about the impact of this film.,[],@reddhimaasingh2188,2022-08-27T08:37:20Z
"Darsheel is still very cute and very well mannerd, but at the same time tanmay is l❤",[],@sajidakhan7458,2022-08-26T16:51:08Z
This movie is a gem 💎,[],@severoussnape3148,2022-08-23T06:42:54Z
what a well spoken gentle man,[],@dr.gauravjain8169,2022-08-19T16:56:43Z
Next should be Siddharth Nigam on Dhoom 3,[],@kiri_bouy,2022-08-17T12:32:41Z
"I am a fan of Darsheel, he doesn't know me but I know him, that's enough 👍",[],@madhukarg8052,2022-08-12T15:44:58Z
Please react to second season of Indian matchmaking: there is some awesome content on there!,[],@shouryankapoor8875,2022-08-11T10:55:17Z
I'm not crying.. you are 😭,[],@ayushmitra3876,2022-08-07T20:49:16Z
Still crying 😢,[],@rohitkhairajani5489,2022-08-05T19:38:38Z
"Rule Is Simple 
"" If TANMAY laughs We Laugh """,[],@cricreflexxxxx,2022-08-04T17:35:43Z
19:00🫡🫡🫡😭😭😭,[],@raghavgupta8528,2022-08-04T12:25:51Z
"Use me as a ""Watching this at 2 am and crying "" button :')",[],@sailorgonewild,2022-08-03T20:49:16Z
Would love to see Kunal Khemu episode of his childhood scenes in films..,[],@VlogTherapyNavvKamal,2022-08-03T17:42:57Z
i swear no one's ever gonnaa Winn this challenge of not to cry while watching this movie,[],@pratikshakalekar8702,2022-08-01T07:37:13Z
"right now i am damm serious therre is a camio of my school principal in teacher section in the last scene 
😀😃😄",[],@assassingaming32,2022-08-01T05:38:12Z
Bro I cried even through tanmay's laughter 😭,[],@harshavardhansain7473,2022-07-31T02:47:00Z
Best movie ever I have seen in my childhood days,[],@shresthanand9968,2022-07-29T13:07:10Z
Anyone else crying while watching these scenes again? 😢,[],@anujabhide1788,2022-07-29T02:00:41Z
Darsheel ❤️❤️❤️,[],@thanvijain7379,2022-07-25T08:16:18Z
19:00 emotional again.,[],@niazali6312,2022-07-23T22:10:08Z
tanmay actually got emoo at the end,[],@aanchallulla1732,2022-07-16T19:45:00Z
"How can I get hit by the feels in such a cut down version of the movieeee 
Also Darsheel is such a nice guy!",[],@devynkumar1997,2022-07-15T02:41:11Z
How difficult it was in the entire video for Tanmay to hold back his tears! From weird laughter to emo cries....,[],@stutiagrawal1018,2022-07-12T03:42:42Z
i cried at end even by just seeing the reaction..,[],@yuktagandotra3919,2022-07-11T14:22:06Z
Imagine watching bhoothnath with Aman Siddiqui,[],@clumsy.bubblez,2022-07-11T09:38:28Z
Saala pyaaz kaur kaat rha hai yaar 🧅🌰,[],@BhriguParashar,2022-07-11T03:47:29Z
19:43 100% 😂😂😂,[],@muskangupta5610,2022-07-09T20:03:08Z
Asli actor,[],@pratikdey804,2022-07-08T19:47:49Z
His voice is  so damn good perfecto,[],@shivrajsinghnirvan6140,2022-07-08T16:45:13Z
No recognition for the best friend in the movie ?,[],@samrithshetty1377,2022-07-04T02:21:56Z
i was recently at Shaan's concert and he sang the maa song and everyone in the stadium was weeping,[],@kzaisar,2022-07-03T21:18:01Z
This movie 🎥💗💯,[],@AB-tt6qs,2022-07-03T09:07:36Z
