comment,replies,user_name,date
He is a loser @aman gupta,[],@ummermir4095,2024-02-02T23:20:35Z
Next month aman launching similarly product 😅,[],@foodieshiv5567,2024-02-02T22:36:52Z
Abhi Peyush loot gaya 😂😂😂.,[],@DigiVerd,2024-02-02T22:04:50Z
piyush is always there for noble cause,[],@Kartik..Choudhary,2024-02-02T22:02:16Z
tbh 80k is also too much for us like middle class family.,[],@Robin-bv7jm,2024-02-02T21:41:06Z
Peyush is genius ❤,[],@adilahmadkhan9377,2024-02-02T21:38:33Z
Now aman got scared...😂😂,[],@MRSPIDY-7,2024-02-02T21:16:59Z
The way piyush said chalie ab hum baat jarte haii.... 14:25,[],@pranavkashyap9503,2024-02-02T21:12:45Z
"Piyush Salute
🫡🫡🫡🫡🫡",[],@ishika3996,2024-02-02T21:10:20Z
Piyush always won our ❤️ ||| He is not only investor or Business man but He is a most kind hearted,[],@disneyprincess1132,2024-02-02T21:01:37Z
they should make normal tws as well and make aman's boat sweat🤣,[],@ved5243,2024-02-02T20:47:31Z
"This is really disappointing that being a Businessman you are first who is  ignoring Healthcare sector which is fastest going sector in India, moreover little knowledge from the technical end & low domestic market which I being a business centric person could simply ignore the fact. We have weak economy & affording this kind of product might be difficult & these guys do have their International market. What I feel is if the product is so revolutionary why Audiologist haven't given larger recommendation.",[],@ankursharma7812,2024-02-02T20:26:57Z
Respect for Piyush 😮😮,[],@PUNITSHARMA-fx3qh,2024-02-02T20:23:47Z
"Piyush reaction on - ab hum bat karte he is like ho gaya tum sab ka? Kar liya natak jo karna tha? 

And this over-smart person always trying to take attention but jab tak piyush he tab tak ye log kabhi usse nahi jit sakte",[],@adityadavda,2024-02-02T20:12:56Z
Anupam be like indian vc ke pas nhi gye. Try kar liya usne 4 fishes said no exceot 1 shark,[],@rockysingh9456,2024-02-02T20:02:07Z
if piyush is going to comply all things with glases to it can become a great Revolution .......... we all are losing our Audibility in terms of frequencies if we can solve it can become a product product USP .............................. comment back only if anyone getting P.O.V.,[],@agnosticismlove,2024-02-02T19:53:23Z
Kya jirrr rasta nikala Gujju bhai ne 😂😂😂 funding kaha kaha s3 utha rahe hai 😂😂,[],@menishraj2235,2024-02-02T19:51:52Z
Integral Ko mat rakho setting,[],@user-fg7lz1mq3m,2024-02-02T19:43:46Z
Sony TV se darkhast hai ki,[],@user-fg7lz1mq3m,2024-02-02T19:43:18Z
I think no body can relate to the problem except pyush because others are selling product where as pyush lenskart solving problem,[],@cyberking250,2024-02-02T19:41:14Z
Why do I feel Ritesh looks like Bo from Shinchan 😅😅,[],@divya0108,2024-02-02T19:39:49Z
Dil jit liyaa mera bhi ear sahi nahi hai mai kama ke lunga ye device this year 😊😊😊,[],@p_short369,2024-02-02T19:38:09Z
Only Aman told the truth that they cannot afford the valuation of 250crore😂😂,[],@martialgamingyt1860,2024-02-02T19:38:01Z
Piyush is gentleman,[],@kenchattys6733,2024-02-02T19:33:31Z
10 Yr phir chota Number Piyush is real shark and very humble.,[],@sureshrana3579,2024-02-02T19:30:10Z
Piyush is real shark🔥🔥alaways come with startup who help for needy people,[],@RohitPatil-tu6he,2024-02-02T19:27:11Z
Ashneer ke bina bilkul phika,[],@user-sw9uz6cl1y,2024-02-02T19:16:56Z
"mein anupam se sehmat hun, gar inka product itna hi acha hai aur purre world mein sirf inke pass yeh techno hai toh phirabhi tak inki company ko globally recognise kyoun nahi kiya gaya, bhaut jayda doubtful lagta hai product and there could be a different reason for its unknowing",[],@user-qd8ld1fe8v,2024-02-02T19:16:33Z
Piyush Sir ❤,[],@pritam8018,2024-02-02T19:15:35Z
"it seems it is a simple bone conductor headphone, thats it....",[],@user-gq8pz7su6e,2024-02-02T19:08:19Z
Abhi koi aachaar leke aa jaye toh ye sab paise deneko tayar ho jayenge,[],@vicranttangde6711,2024-02-02T19:06:07Z
Peyush is my favourite shark ❤❤❤,[],@Chandanmanikpuri2197,2024-02-02T19:02:17Z
Aman ka muh utr gya😅😂,[],@surbhisharma4026,2024-02-02T19:02:03Z
“ab hum baat karte hain”,[],@charansidhu9,2024-02-02T18:59:52Z
Khadoos Anupam 😂,[],@ashifahmed9935,2024-02-02T18:59:21Z
Piyush bohot age jayega risk leta hai bhai ❤❤,[],@dipakmanaskar1921,2024-02-02T18:57:33Z
Peyush has the kindest heart,[],@minilakdawala138,2024-02-02T18:52:22Z
only piyush bhai rest are useless mostly anupam once he heared valuation then started looking for reasons to out.,[],@Pankaj_w27,2024-02-02T18:49:48Z
Piyush is real hero he don't see his profit he wants to bring revolution,[],@karanbadhai98,2024-02-02T18:49:39Z
Ok 🆗,[],@LingJokes,2024-02-02T18:46:35Z
Agar isko offer nahi milti na! To to lanat thi shark tank pe ! But Piyudh op ❤❤,[],@MeetParmar-Uwu78,2024-02-02T18:43:53Z
Product dekhte hi samajhgaya ye deal Piyush hi lega. Baaki sabko equity se matlab hai... Someone look at Aman's face.,[],@sayedsshahid,2024-02-02T18:38:27Z
I am a special educator n i am so proud to see people actually thought of caring about this sector,[],@sangeetachakroberty5340,2024-02-02T18:30:35Z
Piyush is a real shark 🦈,[],@Simmu.Thakur-84,2024-02-02T18:26:06Z
Me watching this while wearing boAt headphones 😂❤,[],@MeetParmar-Uwu78,2024-02-02T18:26:01Z
Piyush ❤❤❤❤ This man is a superman without a cape 🧿🧿,[],@romakukreja36,2024-02-02T18:25:13Z
Why anupam is so cocky 😂,[],@dktimes7080,2024-02-02T18:19:00Z
Piyush stole the pitch in last 2 mins... mind-blowing,[],@NV-dk3jz,2024-02-02T18:16:29Z
Paisa kamane ka acha tarika hai,[],@user-sn9zg9lg8o,2024-02-02T18:05:13Z
man stop calling him piyush its peyush 😭,[],@anishtaklikar8047,2024-02-02T18:03:33Z
